CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
1,Male,19,15,39,1,1
2,Male,21,15,81,1,4
3,Female,20,16,6,1,1
4,Female,23,16,77,1,4
5,Female,31,17,40,1,1
6,Female,22,17,76,1,4
7,Female,35,18,6,1,1
8,Female,23,18,94,1,4
9,Male,64,19,3,1,1
10,Female,30,19,72,1,4
11,Male,67,19,14,1,1
12,Female,35,19,99,1,4
13,Female,58,20,15,1,1
14,Female,24,20,77,1,4
15,Male,37,20,13,1,1
16,Male,22,20,79,1,4
17,Female,35,21,35,1,1
18,Male,20,21,66,1,4
19,Male,52,23,29,1,1
20,Female,35,23,98,1,4
21,Male,35,24,35,1,1
22,Male,25,24,73,1,4
23,Female,46,25,5,1,1
24,Male,31,25,73,1,4
25,Female,54,28,14,1,1
26,Male,29,28,82,1,4
27,Female,45,28,32,1,1
28,Male,35,28,61,1,4
29,Female,40,29,31,1,1
30,Female,23,29,87,1,4
31,Male,60,30,4,1,1
32,Female,21,30,73,1,4
33,Male,53,33,4,1,1
34,Male,18,33,92,1,4
35,Female,49,33,14,1,1
36,Female,21,33,81,1,4
37,Female,42,34,17,1,1
38,Female,30,34,73,1,4
39,Female,36,37,26,1,1
40,Female,20,37,75,1,4
41,Female,65,38,35,1,1
42,Male,24,38,92,1,4
43,Male,48,39,36,1,1
44,Female,31,39,61,1,1
45,Female,49,39,28,1,1
46,Female,24,39,65,1,4
47,Female,50,40,55,1,1
48,Female,27,40,47,1,1
49,Female,29,40,42,1,1
50,Female,31,40,42,1,1
51,Female,49,42,52,1,1
52,Male,33,42,60,1,1
53,Female,31,43,54,1,1
54,Male,59,43,60,1,1
55,Female,50,43,45,1,1
56,Male,47,43,41,1,1
57,Female,51,44,50,1,1
58,Male,69,44,46,1,1
59,Female,27,46,51,1,1
60,Male,53,46,46,1,1
61,Male,70,46,56,1,1
62,Male,19,46,55,1,1
63,Female,67,47,52,0,1
64,Female,54,47,59,0,1
65,Male,63,48,51,0,1
66,Male,18,48,59,0,1
67,Female,43,48,50,0,1
68,Female,68,48,48,0,1
69,Male,19,48,59,0,1
70,Female,32,48,47,0,1
71,Male,70,49,55,0,1
72,Female,47,49,42,0,1
73,Female,60,50,49,0,1
74,Female,60,50,56,0,1
75,Male,59,54,47,0,1
76,Male,26,54,54,0,1
77,Female,45,54,53,0,1
78,Male,40,54,48,0,1
79,Female,23,54,52,0,1
80,Female,49,54,42,0,1
81,Male,57,54,51,0,1
82,Male,38,54,55,0,1
83,Male,67,54,41,0,1
84,Female,46,54,44,0,1
85,Female,21,54,57,0,1
86,Male,48,54,46,0,1
87,Female,55,57,58,0,1
88,Female,22,57,55,0,1
89,Female,34,58,60,0,1
90,Female,50,58,46,0,1
91,Female,68,59,55,0,1
92,Male,18,59,41,0,1
93,Male,48,60,49,0,1
94,Female,40,60,40,0,1
95,Female,32,60,42,0,1
96,Male,24,60,52,0,1
97,Female,47,60,47,0,1
98,Female,27,60,50,0,1
99,Male,48,61,42,0,1
100,Male,20,61,49,0,1
101,Female,23,62,41,0,1
102,Female,49,62,48,0,1
103,Male,67,62,59,0,1
104,Male,26,62,55,0,1
105,Male,49,62,56,0,1
106,Female,21,62,42,0,1
107,Female,66,63,50,0,1
108,Male,54,63,46,0,1
109,Male,68,63,43,0,1
110,Male,66,63,48,0,1
111,Male,65,63,52,0,1
112,Female,19,63,54,0,1
113,Female,38,64,42,0,1
114,Male,19,64,46,0,1
115,Female,18,65,48,0,1
116,Female,19,65,50,0,1
117,Female,63,65,43,0,1
118,Female,49,65,59,0,1
119,Female,51,67,43,0,1
120,Female,50,67,57,0,1
121,Male,27,67,56,0,1
122,Female,38,67,40,0,1
123,Female,40,69,58,0,1
124,Male,39,69,91,0,0
125,Female,23,70,29,0,3
126,Female,31,70,77,0,0
127,Male,43,71,35,0,3
128,Male,40,71,95,0,0
129,Male,59,71,11,0,3
130,Male,38,71,75,0,0
131,Male,47,71,9,0,3
132,Male,39,71,75,0,0
133,Female,25,72,34,0,3
134,Female,31,72,71,0,0
135,Male,20,73,5,0,3
136,Female,29,73,88,0,0
137,Female,44,73,7,0,3
138,Male,32,73,73,0,0
139,Male,19,74,10,0,3
140,Female,35,74,72,0,0
141,Female,57,75,5,0,3
142,Male,32,75,93,0,0
143,Female,28,76,40,0,3
144,Female,32,76,87,0,0
145,Male,25,77,12,2,3
146,Male,28,77,97,2,0
147,Male,48,77,36,2,3
148,Female,32,77,74,2,0
149,Female,34,78,22,2,3
150,Male,34,78,90,2,0
151,Male,43,78,17,2,3
152,Male,39,78,88,2,0
153,Female,44,78,20,2,3
154,Female,38,78,76,2,0
155,Female,47,78,16,2,3
156,Female,27,78,89,2,0
157,Male,37,78,1,2,3
158,Female,30,78,78,2,0
159,Male,34,78,1,2,3
160,Female,30,78,73,2,0
161,Female,56,79,35,2,3
162,Female,29,79,83,2,0
163,Male,19,81,5,2,3
164,Female,31,81,93,2,0
165,Male,50,85,26,2,3
166,Female,36,85,75,2,0
167,Male,42,86,20,2,3
168,Female,33,86,95,2,0
169,Female,36,87,27,2,3
170,Male,32,87,63,2,0
171,Male,40,87,13,2,3
172,Male,28,87,75,2,0
173,Male,36,87,10,2,3
174,Male,36,87,92,2,0
175,Female,52,88,13,2,3
176,Female,30,88,86,2,0
177,Male,58,88,15,2,3
178,Male,27,88,69,2,0
179,Male,59,93,14,2,3
180,Male,35,93,90,2,0
181,Female,37,97,32,2,2
182,Female,32,97,86,2,0
183,Male,46,98,15,2,2
184,Female,29,98,88,2,0
185,Female,41,99,39,2,2
186,Male,30,99,97,2,0
187,Female,54,101,24,2,2
188,Male,28,101,68,2,0
189,Female,41,103,17,2,2
190,Female,36,103,85,2,0
191,Female,34,103,23,2,2
192,Female,32,103,69,2,0
193,Male,33,113,8,2,2
194,Female,38,113,91,2,0
195,Female,47,120,16,2,2
196,Female,35,120,79,2,0
197,Female,45,126,28,2,2
198,Male,32,126,74,2,0
199,Male,32,137,18,2,2
200,Male,30,137,83,2,0
